name,type,table,length,index
id,BIGINT UNSIGNED,base,0,false
fname,CHAR,base,11,false
ssn,CHAR,base,9,false
dob,DATE,base,0,false
city,CHAR,base,35,false
state,ENUM,base,0,false
zip,CHAR,base,5,false
sex,ENUM,base,0,false
race,ENUM,base,0,false
marital_status,ENUM,base,0,false
school_enrolled,ENUM,base,0,false
citizenship,ENUM,base,0,false
income,INT,base,0,false
military_service,ENUM,base,0,false
hours_worked_per_week,SMALLINT UNSIGNED,base,0,false
weeks_worked_last_year,TINYINT UNSIGNED,base,0,false
last_updated,INT UNSIGNED,base,0,false
foo,BIGINT UNSIGNED,base,0,false
