eventID,name,description,optionalValue
0,DELETE_RECVD,Delete command received,
1,DELETE_BEGIN,Delete processing began,
2,DELETE_SUBMT,Delete command submitted to MariaDB,
3,INSERT_RECVD,Insert command received,
4,INSERT_BEGIN,Insert processing began,
5,INSERT_KYWRD,Insert keyword index command submitted to MariaDB,
6,INSERT_STEM,Insert stem index command submitted to MariaDB,
7,INSERT_SUBMT,Insert command submitted to MariaDB,
8,UPDATE_RECVD,Update command received,
9,UPDATE_BEGIN,Update processing began,
10,UPDATE_SUBMT,Update command submitted to MariaDB,
11,VERIFY_RECVD,Verify command received,
12,VERIFY_BEGIN,Verify processing began,
13,VERIFY_SUBMT,Verify command submitted to MariaDB,
